# via	octeti	lexemata	nodi	octeti_stml	usus	commissa	otiosa	apex	alvei	allocationes	allocationes_arboris
probationes/fixa/crusta/pathologiae.sh	1883	420	561	66396	204444	1048576	844132	204444	1	3015	34473
probationes/fixa/crusta/adversarius.sh	1303	418	626	799850	401128	1048576	647448	401128	1	2935	30171
probationes/fixa/crusta/computus/silva_cursor_2026-09-23.sh	11399	1874	2008	343625	721188	1048576	327388	721188	1	10519	126499
probationes/fixa/crusta/computus/vexilla_2026-09-23.sh	2508	178	198	35530	81316	1048576	967260	81316	1	1117	13723
probationes/fixa/crusta/computus/html_cursor_2026-09-23.sh	9648	1620	1697	299679	627708	1048576	420868	627708	1	9055	108858
