# via	octeti	lexemata	nodi	octeti_stml	usus	commissa	otiosa	apex	alvei	allocationes	allocationes_arboris
salve.thistle	507	12	6	1826	3912	1048576	1044664	3912	1	39	798
salve_vitreum.thistle	1315	20	10	3407	6392	1048576	1042184	6392	1	62	1201
