# contentiones.tsv - tabula iudicis contentionum (T32 c, 2026-09-09): victor victa DISCRIMINANTES (victa sola + victor solus) victa-sola permille(victa sola / discriminantes) - plagulae pinnatae solae, statu e6866ffa (ante iudicem) mensurata; contentiones arcu eodem (subiectum/obiectum eiusdem verbi) non discriminant; regeneratio: python3 oratio/census/contentiones.py <mensura.tsv> -scribere (causa nominata)
umbra-obiectum-verbi-praecedente-proximo	umbra-obiectum-incerti-proprii	3	0	0
umbra-obiectum-verbi-sequente-proximo	umbra-caput-accusativus-praecedente	3	3	1000
umbra-subiectum-sequente-proximo	umbra-caput-incerti-proprii-praecedente	3	0	0
umbra-caput-ablativus-sequente	umbra-caput-incerti-proprii-sequente	2	0	0
umbra-caput-accusativus-sequente	umbra-caput-incerti-proprii-praecedente	2	0	0
umbra-caput-dativus-praecedente	umbra-caput-incerti-proprii-praecedente	2	0	0
umbra-caput-nominativus-praecedente	umbra-caput-incerti-proprii-praecedente	2	0	0
umbra-caput-vocativus-praecedente	umbra-caput-accusativus-sequente	2	1	500
umbra-obiectum-ignoti	umbra-obiectum-accusativi	2	1	500
umbra-obiectum-verbi-sequente-proximo	umbra-caput-incerti-proprii-sequente	2	0	0
umbra-subiectum-praecedente	umbra-caput-ablativus-sequente	2	0	0
umbra-subiectum-praecedente	umbra-caput-accusativus-praecedente	2	1	500
umbra-subiectum-praecedente	umbra-caput-incerti-proprii-praecedente	2	0	0
umbra-caput-ablativus-sequente	umbra-caput-nominativus-praecedente	1	0	0
umbra-caput-dativus-sequente	umbra-caput-incerti-proprii-praecedente	1	0	0
umbra-caput-dativus-sequente	umbra-caput-incerti-proprii-sequente	1	0	0
umbra-caput-incerti-proprii-sequente	umbra-subiectum-sequente	1	0	0
umbra-caput-incerti-proprii-sequente-proximo	umbra-caput-incerti-proprii-sequente	1	0	0
umbra-caput-nominativus-praecedente	umbra-caput-incerti-proprii-praecedente-proximo	1	0	0
umbra-caput-nominativus-sequente	umbra-caput-incerti-proprii-praecedente	1	0	0
umbra-caput-nominativus-sequente	umbra-subiectum-praecedente	1	1	1000
umbra-caput-praecedente-proximo	umbra-caput-praecedente-proximo	1	1	1000
umbra-caput-praecedente-proximo	umbra-obiectum-verbi-sequente-proximo	1	1	1000
umbra-caput-vocativus-praecedente	umbra-caput-genitivus-praecedente	1	0	0
umbra-obiectum-ablativi	umbra-obiectum-accusativi	1	0	0
umbra-obiectum-incerti-proprii	umbra-obiectum-verbi-sequente-proximo	1	0	0
umbra-obiectum-verbi-praecedente-proximo	umbra-caput-incerti-proprii-praecedente	1	0	0
umbra-obiectum-verbi-sequente-proximo	umbra-caput-incerti-proprii-praecedente	1	0	0
umbra-obiectum-verbi-sequente-proximo	umbra-obiectum-ignoti	1	1	1000
umbra-subiectum-praecedente	umbra-caput-ablativus-praecedente	1	0	0
umbra-subiectum-praecedente-proximo	umbra-caput-incerti-proprii-praecedente	1	1	1000
umbra-subiectum-sequente	umbra-caput-accusativus-praecedente	1	0	0
umbra-subiectum-sequente	umbra-caput-incerti-proprii-praecedente	1	0	0
umbra-subiectum-sequente	umbra-caput-incerti-proprii-sequente	1	1	1000
