# pondera.tsv - tabula ponderum decretoris (T38 b, 2026-09-15): contentiones et rectae per (regula, dialectus, forma, folliculus, valor) ex ordinibus LIS plagularum EDITIBILIUM (la_circse, la_llct) solis; scrinium numquam; regeneratio: python3 oratio/census/pondera.py <lites.tsv> -scribere (causa nominata); fons 06b4dbfe lites_t38c_off.tsv
regula	dialectus	forma	folliculus	valor	contentiones	rectae	permille
@subiectum+ante+remoto	-	versus	-	-	701	178	253
@subiectum+ante+remoto	classicus	-	-	-	739	187	253
@subiectum+ante+remoto	classicus	prosa	-	-	38	9	236
@subiectum+ante+remoto	classicus	versus	-	-	701	178	253
@subiectum+ante+remoto	medius	-	-	-	2942	282	95
@subiectum+ante+remoto	medius	prosa	-	-	2942	282	95
@subiectum+post+proximo	-	-	-	-	352	95	269
@subiectum+post+proximo	-	prosa	-	-	90	9	100
@subiectum+post+proximo	-	versus	-	-	262	86	328
@subiectum+post+proximo	classicus	-	-	-	288	92	319
@subiectum+post+proximo	classicus	prosa	-	-	26	6	230
@subiectum+post+proximo	classicus	versus	-	-	262	86	328
@subiectum+post+proximo	medius	-	-	-	64	3	46
@subiectum+post+proximo	medius	prosa	-	-	64	3	46
@subiectum+post+remoto	-	-	-	-	1080	27	25
@subiectum+post+remoto	-	prosa	-	-	800	4	5
@subiectum+post+remoto	-	versus	-	-	280	23	82
@subiectum+post+remoto	classicus	-	-	-	287	26	90
@subiectum+post+remoto	classicus	prosa	-	-	7	3	428
@subiectum+post+remoto	classicus	versus	-	-	280	23	82
@subiectum+post+remoto	medius	-	-	-	793	1	1
@subiectum+post+remoto	medius	prosa	-	-	793	1	1
umbra-caput-ablativus-praecedente	-	-	-	-	69	46	666
umbra-caput-ablativus-praecedente	-	prosa	-	-	68	46	676
umbra-caput-ablativus-praecedente	-	versus	-	-	1	0	0
umbra-caput-ablativus-praecedente	classicus	-	-	-	2	0	0
umbra-caput-ablativus-praecedente	classicus	prosa	-	-	1	0	0
umbra-caput-ablativus-praecedente	classicus	versus	-	-	1	0	0
umbra-caput-ablativus-praecedente	medius	-	-	-	67	46	686
umbra-caput-ablativus-praecedente	medius	prosa	-	-	67	46	686
umbra-caput-ablativus-sequente	-	-	-	-	470	2	4
umbra-caput-ablativus-sequente	-	-	positio-numerus	0+singularis	15	0	0
umbra-caput-ablativus-sequente	-	-	positio-numerus	1+singularis	13	2	153
umbra-caput-ablativus-sequente	-	prosa	-	-	449	0	0
umbra-caput-ablativus-sequente	-	versus	-	-	21	2	95
umbra-caput-ablativus-sequente	classicus	-	-	-	23	2	86
umbra-caput-ablativus-sequente	classicus	-	positio-numerus	1+singularis	4	2	500
umbra-caput-ablativus-sequente	classicus	prosa	-	-	2	0	0
umbra-caput-ablativus-sequente	classicus	versus	-	-	21	2	95
umbra-caput-ablativus-sequente	medius	-	-	-	447	0	0
umbra-caput-ablativus-sequente	medius	-	positio-numerus	0+singularis	15	0	0
umbra-caput-ablativus-sequente	medius	-	positio-numerus	1+singularis	9	0	0
umbra-caput-ablativus-sequente	medius	prosa	-	-	447	0	0
umbra-caput-accusativus-praecedente	-	-	-	-	158	50	316
umbra-caput-accusativus-praecedente	-	prosa	-	-	112	37	330
umbra-caput-accusativus-praecedente	-	versus	-	-	46	13	282
umbra-caput-accusativus-praecedente	classicus	-	-	-	57	14	245
umbra-caput-accusativus-praecedente	classicus	prosa	-	-	11	1	90
umbra-caput-accusativus-praecedente	classicus	versus	-	-	46	13	282
umbra-caput-accusativus-praecedente	medius	-	-	-	101	36	356
umbra-caput-accusativus-praecedente	medius	prosa	-	-	101	36	356
umbra-caput-accusativus-sequente	-	-	-	-	347	51	146
umbra-caput-accusativus-sequente	-	prosa	-	-	232	8	34
umbra-caput-accusativus-sequente	-	versus	-	-	115	43	373
umbra-caput-accusativus-sequente	classicus	-	-	-	124	45	362
umbra-caput-accusativus-sequente	classicus	prosa	-	-	9	2	222
umbra-caput-accusativus-sequente	classicus	versus	-	-	115	43	373
umbra-caput-accusativus-sequente	medius	-	-	-	223	6	26
umbra-caput-accusativus-sequente	medius	prosa	-	-	223	6	26
umbra-caput-dativus-praecedente	-	-	-	-	30	1	33
umbra-caput-dativus-praecedente	-	prosa	-	-	26	0	0
umbra-caput-dativus-praecedente	-	versus	-	-	4	1	250
umbra-caput-dativus-praecedente	classicus	-	-	-	6	1	166
umbra-caput-dativus-praecedente	classicus	prosa	-	-	2	0	0
umbra-caput-dativus-praecedente	classicus	versus	-	-	4	1	250
umbra-caput-dativus-praecedente	medius	-	-	-	24	0	0
umbra-caput-dativus-praecedente	medius	prosa	-	-	24	0	0
umbra-caput-dativus-sequente	-	-	-	-	92	0	0
umbra-caput-dativus-sequente	-	prosa	-	-	82	0	0
umbra-caput-dativus-sequente	-	versus	-	-	10	0	0
umbra-caput-dativus-sequente	classicus	-	-	-	11	0	0
umbra-caput-dativus-sequente	classicus	prosa	-	-	1	0	0
umbra-caput-dativus-sequente	classicus	versus	-	-	10	0	0
umbra-caput-dativus-sequente	medius	-	-	-	81	0	0
umbra-caput-dativus-sequente	medius	prosa	-	-	81	0	0
umbra-caput-genitivus-praecedente	-	-	-	-	59	1	16
umbra-caput-genitivus-praecedente	-	prosa	-	-	54	1	18
umbra-caput-genitivus-praecedente	-	versus	-	-	5	0	0
umbra-caput-genitivus-praecedente	classicus	-	-	-	5	0	0
umbra-caput-genitivus-praecedente	classicus	versus	-	-	5	0	0
umbra-caput-genitivus-praecedente	medius	-	-	-	54	1	18
umbra-caput-genitivus-praecedente	medius	prosa	-	-	54	1	18
umbra-caput-genitivus-sequente	-	-	-	-	168	3	17
umbra-caput-genitivus-sequente	-	prosa	-	-	153	0	0
umbra-caput-genitivus-sequente	-	versus	-	-	15	3	200
umbra-caput-genitivus-sequente	classicus	-	-	-	16	3	187
umbra-caput-genitivus-sequente	classicus	prosa	-	-	1	0	0
umbra-caput-genitivus-sequente	classicus	versus	-	-	15	3	200
umbra-caput-genitivus-sequente	medius	-	-	-	152	0	0
umbra-caput-genitivus-sequente	medius	prosa	-	-	152	0	0
umbra-caput-incerti-proprii-praecedente	-	-	-	-	56	0	0
umbra-caput-incerti-proprii-praecedente	-	prosa	-	-	38	0	0
umbra-caput-incerti-proprii-praecedente	-	versus	-	-	18	0	0
umbra-caput-incerti-proprii-praecedente	classicus	-	-	-	22	0	0
umbra-caput-incerti-proprii-praecedente	classicus	prosa	-	-	4	0	0
umbra-caput-incerti-proprii-praecedente	classicus	versus	-	-	18	0	0
umbra-caput-incerti-proprii-praecedente	medius	-	-	-	34	0	0
umbra-caput-incerti-proprii-praecedente	medius	prosa	-	-	34	0	0
umbra-caput-incerti-proprii-praecedente-proximo	-	-	-	-	308	139	451
umbra-caput-incerti-proprii-praecedente-proximo	-	-	positio-numerus	0+pluralis	30	0	0
umbra-caput-incerti-proprii-praecedente-proximo	-	-	positio-numerus	1+pluralis	118	118	1000
umbra-caput-incerti-proprii-praecedente-proximo	-	prosa	-	-	273	131	479
umbra-caput-incerti-proprii-praecedente-proximo	-	versus	-	-	35	8	228
umbra-caput-incerti-proprii-praecedente-proximo	classicus	-	-	-	46	9	195
umbra-caput-incerti-proprii-praecedente-proximo	classicus	prosa	-	-	11	1	90
umbra-caput-incerti-proprii-praecedente-proximo	classicus	versus	-	-	35	8	228
umbra-caput-incerti-proprii-praecedente-proximo	medius	-	-	-	262	130	496
umbra-caput-incerti-proprii-praecedente-proximo	medius	-	positio-numerus	0+pluralis	30	0	0
umbra-caput-incerti-proprii-praecedente-proximo	medius	-	positio-numerus	1+pluralis	118	118	1000
umbra-caput-incerti-proprii-praecedente-proximo	medius	prosa	-	-	262	130	496
umbra-caput-incerti-proprii-sequente	-	-	-	-	214	15	70
umbra-caput-incerti-proprii-sequente	-	prosa	-	-	148	5	33
umbra-caput-incerti-proprii-sequente	-	versus	-	-	66	10	151
umbra-caput-incerti-proprii-sequente	classicus	-	-	-	75	10	133
umbra-caput-incerti-proprii-sequente	classicus	prosa	-	-	9	0	0
umbra-caput-incerti-proprii-sequente	classicus	versus	-	-	66	10	151
umbra-caput-incerti-proprii-sequente	medius	-	-	-	139	5	35
umbra-caput-incerti-proprii-sequente	medius	prosa	-	-	139	5	35
umbra-caput-incerti-proprii-sequente-proximo	-	-	-	-	278	160	575
umbra-caput-incerti-proprii-sequente-proximo	-	prosa	-	-	244	152	622
umbra-caput-incerti-proprii-sequente-proximo	-	versus	-	-	34	8	235
umbra-caput-incerti-proprii-sequente-proximo	classicus	-	-	-	44	8	181
umbra-caput-incerti-proprii-sequente-proximo	classicus	prosa	-	-	10	0	0
umbra-caput-incerti-proprii-sequente-proximo	classicus	versus	-	-	34	8	235
umbra-caput-incerti-proprii-sequente-proximo	medius	-	-	-	234	152	649
umbra-caput-incerti-proprii-sequente-proximo	medius	prosa	-	-	234	152	649
umbra-caput-nominativus-praecedente	-	-	-	-	298	26	87
umbra-caput-nominativus-praecedente	-	-	positio-numerus	0+pluralis	1	0	0
umbra-caput-nominativus-praecedente	-	-	positio-numerus	1+pluralis	1	1	1000
umbra-caput-nominativus-praecedente	-	prosa	-	-	200	2	10
umbra-caput-nominativus-praecedente	-	versus	-	-	98	24	244
umbra-caput-nominativus-praecedente	classicus	-	-	-	103	25	242
umbra-caput-nominativus-praecedente	classicus	prosa	-	-	5	1	200
umbra-caput-nominativus-praecedente	classicus	versus	-	-	98	24	244
umbra-caput-nominativus-praecedente	medius	-	-	-	195	1	5
umbra-caput-nominativus-praecedente	medius	-	positio-numerus	0+pluralis	1	0	0
umbra-caput-nominativus-praecedente	medius	-	positio-numerus	1+pluralis	1	1	1000
umbra-caput-nominativus-praecedente	medius	prosa	-	-	195	1	5
umbra-caput-nominativus-sequente	-	-	-	-	682	73	107
umbra-caput-nominativus-sequente	-	prosa	-	-	495	14	28
umbra-caput-nominativus-sequente	-	versus	-	-	187	59	315
umbra-caput-nominativus-sequente	classicus	-	-	-	199	61	306
umbra-caput-nominativus-sequente	classicus	prosa	-	-	12	2	166
umbra-caput-nominativus-sequente	classicus	versus	-	-	187	59	315
umbra-caput-nominativus-sequente	medius	-	-	-	483	12	24
umbra-caput-nominativus-sequente	medius	prosa	-	-	483	12	24
umbra-caput-praecedente-proximo	-	-	-	-	735	341	463
umbra-caput-praecedente-proximo	-	prosa	-	-	641	306	477
umbra-caput-praecedente-proximo	-	versus	-	-	94	35	372
umbra-caput-praecedente-proximo	classicus	-	-	-	103	37	359
umbra-caput-praecedente-proximo	classicus	prosa	-	-	9	2	222
umbra-caput-praecedente-proximo	classicus	versus	-	-	94	35	372
umbra-caput-praecedente-proximo	medius	-	-	-	632	304	481
umbra-caput-praecedente-proximo	medius	prosa	-	-	632	304	481
umbra-caput-sequente-proximo	-	-	-	-	203	35	172
umbra-caput-sequente-proximo	-	prosa	-	-	20	4	200
umbra-caput-sequente-proximo	-	versus	-	-	183	31	169
umbra-caput-sequente-proximo	classicus	-	-	-	202	34	168
umbra-caput-sequente-proximo	classicus	prosa	-	-	19	3	157
umbra-caput-sequente-proximo	classicus	versus	-	-	183	31	169
umbra-caput-sequente-proximo	medius	-	-	-	1	1	1000
umbra-caput-sequente-proximo	medius	prosa	-	-	1	1	1000
umbra-caput-vocativus-praecedente	-	-	-	-	193	13	67
umbra-caput-vocativus-praecedente	-	prosa	-	-	142	0	0
umbra-caput-vocativus-praecedente	-	versus	-	-	51	13	254
umbra-caput-vocativus-praecedente	classicus	-	-	-	52	13	250
umbra-caput-vocativus-praecedente	classicus	prosa	-	-	1	0	0
umbra-caput-vocativus-praecedente	classicus	versus	-	-	51	13	254
umbra-caput-vocativus-praecedente	medius	-	-	-	141	0	0
umbra-caput-vocativus-praecedente	medius	prosa	-	-	141	0	0
umbra-caput-vocativus-sequente	-	-	-	-	17	0	0
umbra-caput-vocativus-sequente	-	prosa	-	-	17	0	0
umbra-caput-vocativus-sequente	medius	-	-	-	17	0	0
umbra-caput-vocativus-sequente	medius	prosa	-	-	17	0	0
umbra-obiectum-ablativi	-	-	-	-	178	158	887
umbra-obiectum-ablativi	-	prosa	-	-	172	155	901
umbra-obiectum-ablativi	-	versus	-	-	6	3	500
umbra-obiectum-ablativi	classicus	-	-	-	10	5	500
umbra-obiectum-ablativi	classicus	prosa	-	-	4	2	500
umbra-obiectum-ablativi	classicus	versus	-	-	6	3	500
umbra-obiectum-ablativi	medius	-	-	-	168	153	910
umbra-obiectum-ablativi	medius	prosa	-	-	168	153	910
umbra-obiectum-accusativi	-	-	-	-	103	38	368
umbra-obiectum-accusativi	-	prosa	-	-	83	25	301
umbra-obiectum-accusativi	-	versus	-	-	20	13	650
umbra-obiectum-accusativi	classicus	-	-	-	23	15	652
umbra-obiectum-accusativi	classicus	prosa	-	-	3	2	666
umbra-obiectum-accusativi	classicus	versus	-	-	20	13	650
umbra-obiectum-accusativi	medius	-	-	-	80	23	287
umbra-obiectum-accusativi	medius	prosa	-	-	80	23	287
umbra-obiectum-ignoti	-	-	-	-	10	2	200
umbra-obiectum-ignoti	-	prosa	-	-	10	2	200
umbra-obiectum-ignoti	medius	-	-	-	10	2	200
umbra-obiectum-ignoti	medius	prosa	-	-	10	2	200
umbra-obiectum-incerti-proprii	-	-	-	-	15	1	66
umbra-obiectum-incerti-proprii	-	prosa	-	-	14	0	0
umbra-obiectum-incerti-proprii	-	versus	-	-	1	1	1000
umbra-obiectum-incerti-proprii	classicus	-	-	-	1	1	1000
umbra-obiectum-incerti-proprii	classicus	versus	-	-	1	1	1000
umbra-obiectum-incerti-proprii	medius	-	-	-	14	0	0
umbra-obiectum-incerti-proprii	medius	prosa	-	-	14	0	0
umbra-obiectum-verbi-praecedente-proximo	-	-	-	-	778	381	489
umbra-obiectum-verbi-praecedente-proximo	-	-	positio-numerus	1+pluralis	297	55	185
umbra-obiectum-verbi-praecedente-proximo	-	-	positio-numerus	1+singularis	451	300	665
umbra-obiectum-verbi-praecedente-proximo	-	prosa	-	-	156	79	506
umbra-obiectum-verbi-praecedente-proximo	-	versus	-	-	622	302	485
umbra-obiectum-verbi-praecedente-proximo	classicus	-	-	-	663	315	475
umbra-obiectum-verbi-praecedente-proximo	classicus	-	positio-numerus	1+pluralis	247	46	186
umbra-obiectum-verbi-praecedente-proximo	classicus	-	positio-numerus	1+singularis	413	269	651
umbra-obiectum-verbi-praecedente-proximo	classicus	prosa	-	-	41	13	317
umbra-obiectum-verbi-praecedente-proximo	classicus	versus	-	-	622	302	485
umbra-obiectum-verbi-praecedente-proximo	medius	-	-	-	115	66	573
umbra-obiectum-verbi-praecedente-proximo	medius	-	positio-numerus	1+pluralis	50	9	180
umbra-obiectum-verbi-praecedente-proximo	medius	-	positio-numerus	1+singularis	38	31	815
umbra-obiectum-verbi-praecedente-proximo	medius	prosa	-	-	115	66	573
umbra-obiectum-verbi-sequente-proximo	-	-	-	-	725	124	171
umbra-obiectum-verbi-sequente-proximo	-	-	positio-numerus	0+pluralis	192	80	416
