# via	octeti	lexemata	nodi	octeti_stml	usus	commissa	otiosa	apex	alvei	allocationes	allocationes_arboris
hilarius.txt	11546	4089	2436	454849	2737448	3145728	408280	2737448	2	19402	183864
propertius.txt	32798	10537	6052	1167997	7103192	10486168	3382976	7103192	4	50985	470839
cicero.txt	92723	29356	16607	3295360	19983072	22020944	2037872	19983072	6	137600	1299281
lincoln.txt	22083	7957	4361	877171	5472368	6291560	819192	5472368	3	37703	351080
trinity.txt	27921	10238	5724	1115988	7106712	10486328	3379616	7106712	4	49705	454418
